日期,SO2分指数,NO2分指数,AQI
2023/9/23,"\mathcal{L}(5,7)","\mathcal{L}(37,39)","\mathcal{L}(38,40)"
2023/9/22,"\mathcal{L}(5,7)","\mathcal{L}(36,38)","\mathcal{L}(36,38)"
2023/9/21,"\mathcal{L}(5,7)","\mathcal{L}(32,34)","\mathcal{L}(43,45)"
2023/9/20,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(46,48)"
2023/9/19,"\mathcal{L}(6,8)","\mathcal{L}(23,25)","\mathcal{L}(72,74)"
2023/9/18,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(101,103)"
2023/9/17,"\mathcal{L}(6,8)","\mathcal{L}(42,44)","\mathcal{L}(111,113)"
2023/9/16,"\mathcal{L}(5,7)","\mathcal{L}(51,53)","\mathcal{L}(51,53)"
2023/9/15,"\mathcal{L}(5,7)","\mathcal{L}(51,53)","\mathcal{L}(51,53)"
2023/9/14,"\mathcal{L}(5,7)","\mathcal{L}(34,36)","\mathcal{L}(34,36)"
2023/9/13,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(40,42)"
2023/9/12,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(44,46)"
2023/9/11,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(80,82)"
2023/9/10,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(86,88)"
2023/9/9,"\mathcal{L}(6,8)","\mathcal{L}(28,30)","\mathcal{L}(75,77)"
2023/9/8,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(64,66)"
2023/9/7,"\mathcal{L}(6,8)","\mathcal{L}(22,24)","\mathcal{L}(55,57)"
2023/9/6,"\mathcal{L}(6,8)","\mathcal{L}(18,20)","\mathcal{L}(33,35)"
2023/9/5,"\mathcal{L}(6,8)","\mathcal{L}(22,24)","\mathcal{L}(31,33)"
2023/9/4,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(24,26)"
2023/9/3,"\mathcal{L}(6,8)","\mathcal{L}(23,25)","\mathcal{L}(64,66)"
2023/9/2,"\mathcal{L}(6,8)","\mathcal{L}(16,18)","\mathcal{L}(77,79)"
2023/9/1,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(55,57)"
2023/8/31,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(48,50)"
2023/8/30,"\mathcal{L}(5,7)","\mathcal{L}(27,29)","\mathcal{L}(44,46)"
2023/8/29,"\mathcal{L}(5,7)","\mathcal{L}(33,35)","\mathcal{L}(33,35)"
2023/8/28,"\mathcal{L}(6,8)","\mathcal{L}(21,23)","\mathcal{L}(39,41)"
2023/8/27,"\mathcal{L}(5,7)","\mathcal{L}(17,19)","\mathcal{L}(33,35)"
2023/8/26,"\mathcal{L}(6,8)","\mathcal{L}(23,25)","\mathcal{L}(74,76)"
2023/8/25,"\mathcal{L}(6,8)","\mathcal{L}(23,25)","\mathcal{L}(90,92)"
2023/8/24,"\mathcal{L}(7,9)","\mathcal{L}(31,33)","\mathcal{L}(104,106)"
2023/8/23,"\mathcal{L}(6,8)","\mathcal{L}(28,30)","\mathcal{L}(65,67)"
2023/8/22,"\mathcal{L}(6,8)","\mathcal{L}(27,29)","\mathcal{L}(99,101)"
2023/8/21,"\mathcal{L}(6,8)","\mathcal{L}(19,21)","\mathcal{L}(101,103)"
2023/8/20,"\mathcal{L}(5,7)","\mathcal{L}(17,19)","\mathcal{L}(42,44)"
2023/8/19,"\mathcal{L}(5,7)","\mathcal{L}(18,20)","\mathcal{L}(49,51)"
2023/8/18,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(58,60)"
2023/8/17,"\mathcal{L}(5,7)","\mathcal{L}(34,36)","\mathcal{L}(56,58)"
2023/8/16,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(54,56)"
2023/8/15,"\mathcal{L}(5,7)","\mathcal{L}(18,20)","\mathcal{L}(36,38)"
2023/8/14,"\mathcal{L}(5,7)","\mathcal{L}(16,18)","\mathcal{L}(43,45)"
2023/8/13,"\mathcal{L}(6,8)","\mathcal{L}(17,19)","\mathcal{L}(73,75)"
2023/8/12,"\mathcal{L}(6,8)","\mathcal{L}(21,23)","\mathcal{L}(131,133)"
2023/8/11,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(162,164)"
2023/8/10,"\mathcal{L}(5,7)","\mathcal{L}(21,23)","\mathcal{L}(112,114)"
2023/8/9,"\mathcal{L}(5,7)","\mathcal{L}(19,21)","\mathcal{L}(54,56)"
2023/8/8,"\mathcal{L}(6,8)","\mathcal{L}(18,20)","\mathcal{L}(55,57)"
2023/8/7,"\mathcal{L}(6,8)","\mathcal{L}(21,23)","\mathcal{L}(39,41)"
2023/8/6,"\mathcal{L}(6,8)","\mathcal{L}(23,25)","\mathcal{L}(52,54)"
2023/8/5,"\mathcal{L}(5,7)","\mathcal{L}(14,16)","\mathcal{L}(27,29)"
2023/8/4,"\mathcal{L}(5,7)","\mathcal{L}(12,14)","\mathcal{L}(26,28)"
2023/8/3,"\mathcal{L}(5,7)","\mathcal{L}(11,13)","\mathcal{L}(30,32)"
2023/8/2,"\mathcal{L}(5,7)","\mathcal{L}(13,15)","\mathcal{L}(25,27)"
2023/8/1,"\mathcal{L}(5,7)","\mathcal{L}(13,15)","\mathcal{L}(23,25)"
2023/7/31,"\mathcal{L}(5,7)","\mathcal{L}(16,18)","\mathcal{L}(26,28)"
2023/7/30,"\mathcal{L}(5,7)","\mathcal{L}(13,15)","\mathcal{L}(25,27)"
2023/7/29,"\mathcal{L}(4,6)","\mathcal{L}(11,13)","\mathcal{L}(18,20)"
2023/7/28,"\mathcal{L}(4,6)","\mathcal{L}(11,13)","\mathcal{L}(20,22)"
2023/7/27,"\mathcal{L}(5,7)","\mathcal{L}(13,15)","\mathcal{L}(17,19)"
2023/7/27,"\mathcal{L}(5,7)","\mathcal{L}(13,15)","\mathcal{L}(17,19)"
2023/7/26,"\mathcal{L}(5,7)","\mathcal{L}(12,14)","\mathcal{L}(28,30)"
2023/7/25,"\mathcal{L}(5,7)","\mathcal{L}(16,18)","\mathcal{L}(42,44)"
2023/7/24,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(56,58)"
2023/7/23,"\mathcal{L}(5,7)","\mathcal{L}(21,23)","\mathcal{L}(55,57)"
2023/7/22,"\mathcal{L}(5,7)","\mathcal{L}(24,26)","\mathcal{L}(46,48)"
2023/7/21,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(65,67)"
2023/7/20,"\mathcal{L}(5,7)","\mathcal{L}(31,33)","\mathcal{L}(31,33)"
2023/7/19,"\mathcal{L}(5,7)","\mathcal{L}(24,26)","\mathcal{L}(31,33)"
2023/7/18,"\mathcal{L}(5,7)","\mathcal{L}(19,21)","\mathcal{L}(35,37)"
2023/7/17,"\mathcal{L}(5,7)","\mathcal{L}(13,15)","\mathcal{L}(27,29)"
2023/7/16,"\mathcal{L}(5,7)","\mathcal{L}(24,26)","\mathcal{L}(33,35)"
2023/7/15,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(114,116)"
2023/7/14,"\mathcal{L}(6,8)","\mathcal{L}(23,25)","\mathcal{L}(129,131)"
2023/7/13,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(112,114)"
2023/7/12,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(135,137)"
2023/7/11,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(125,127)"
2023/7/10,"\mathcal{L}(5,7)","\mathcal{L}(42,44)","\mathcal{L}(42,44)"
2023/7/10,"\mathcal{L}(5,7)","\mathcal{L}(42,44)","\mathcal{L}(42,44)"
2023/7/9,"\mathcal{L}(5,7)","\mathcal{L}(38,40)","\mathcal{L}(63,65)"
2023/7/8,"\mathcal{L}(5,7)","\mathcal{L}(41,43)","\mathcal{L}(41,43)"
2023/7/7,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(68,70)"
2023/7/6,"\mathcal{L}(6,8)","\mathcal{L}(32,34)","\mathcal{L}(98,100)"
2023/7/5,"\mathcal{L}(5,7)","\mathcal{L}(27,29)","\mathcal{L}(83,85)"
2023/7/4,"\mathcal{L}(6,8)","\mathcal{L}(28,30)","\mathcal{L}(79,81)"
2023/7/3,"\mathcal{L}(5,7)","\mathcal{L}(37,39)","\mathcal{L}(101,103)"
2023/7/2,"\mathcal{L}(5,7)","\mathcal{L}(29,31)","\mathcal{L}(105,107)"
2023/7/1,"\mathcal{L}(5,7)","\mathcal{L}(22,24)","\mathcal{L}(101,103)"
2023/6/30,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(38,40)"
2023/6/29,"\mathcal{L}(6,8)","\mathcal{L}(28,30)","\mathcal{L}(86,88)"
2023/6/28,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(94,96)"
2023/6/27,"\mathcal{L}(6,8)","\mathcal{L}(31,33)","\mathcal{L}(64,66)"
2023/6/26,"\mathcal{L}(5,7)","\mathcal{L}(31,33)","\mathcal{L}(46,48)"
2023/6/25,"\mathcal{L}(5,7)","\mathcal{L}(27,29)","\mathcal{L}(49,51)"
2023/6/24,"\mathcal{L}(5,7)","\mathcal{L}(17,19)","\mathcal{L}(62,64)"
2023/6/23,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(73,75)"
2023/6/22,"\mathcal{L}(7,9)","\mathcal{L}(37,39)","\mathcal{L}(106,108)"
2023/6/21,"\mathcal{L}(6,8)","\mathcal{L}(37,39)","\mathcal{L}(145,147)"
2023/6/20,"\mathcal{L}(6,8)","\mathcal{L}(33,35)","\mathcal{L}(91,93)"
2023/6/19,"\mathcal{L}(5,7)","\mathcal{L}(36,38)","\mathcal{L}(36,38)"
2023/6/18,"\mathcal{L}(5,7)","\mathcal{L}(39,41)","\mathcal{L}(39,41)"
2023/6/17,"\mathcal{L}(5,7)","\mathcal{L}(21,23)","\mathcal{L}(66,68)"
2023/6/16,"\mathcal{L}(6,8)","\mathcal{L}(31,33)","\mathcal{L}(99,101)"
2023/6/15,"\mathcal{L}(7,9)","\mathcal{L}(42,44)","\mathcal{L}(116,118)"
2023/6/14,"\mathcal{L}(6,8)","\mathcal{L}(31,33)","\mathcal{L}(99,101)"
2023/6/13,"\mathcal{L}(5,7)","\mathcal{L}(23,25)","\mathcal{L}(27,29)"
2023/6/12,"\mathcal{L}(6,8)","\mathcal{L}(22,24)","\mathcal{L}(42,44)"
2023/6/11,"\mathcal{L}(7,9)","\mathcal{L}(29,31)","\mathcal{L}(74,76)"
2023/6/10,"\mathcal{L}(7,9)","\mathcal{L}(26,28)","\mathcal{L}(127,129)"
2023/6/9,"\mathcal{L}(7,9)","\mathcal{L}(34,36)","\mathcal{L}(139,141)"
2023/6/8,"\mathcal{L}(6,8)","\mathcal{L}(37,39)","\mathcal{L}(118,120)"
2023/6/7,"\mathcal{L}(6,8)","\mathcal{L}(33,35)","\mathcal{L}(61,63)"
2023/6/6,"\mathcal{L}(5,7)","\mathcal{L}(33,35)","\mathcal{L}(64,66)"
