日期,SO2分指数,NO2分指数,AQI
2023/3/2,"\mathcal{L}(7,9)","\mathcal{L}(44,46)","\mathcal{L}(57,59)"
2023/3/1,"\mathcal{L}(8,10)","\mathcal{L}(68,70)","\mathcal{L}(92,94)"
2023/2/28,"\mathcal{L}(6,8)","\mathcal{L}(56,58)","\mathcal{L}(56,58)"
2023/2/27,"\mathcal{L}(5,7)","\mathcal{L}(38,40)","\mathcal{L}(45,47)"
2023/2/26,"\mathcal{L}(6,8)","\mathcal{L}(33,35)","\mathcal{L}(43,45)"
2023/2/25,"\mathcal{L}(6,8)","\mathcal{L}(26,28)","\mathcal{L}(47,49)"
2023/2/24,"\mathcal{L}(6,8)","\mathcal{L}(39,41)","\mathcal{L}(59,61)"
2023/2/23,"\mathcal{L}(5,7)","\mathcal{L}(38,40)","\mathcal{L}(38,40)"
2023/2/22,"\mathcal{L}(5,7)","\mathcal{L}(32,34)","\mathcal{L}(34,36)"
2023/2/21,"\mathcal{L}(5,7)","\mathcal{L}(22,24)","\mathcal{L}(36,38)"
2023/2/20,"\mathcal{L}(7,9)","\mathcal{L}(43,45)","\mathcal{L}(57,59)"
2023/2/19,"\mathcal{L}(6,8)","\mathcal{L}(46,48)","\mathcal{L}(112,114)"
2023/2/18,"\mathcal{L}(8,10)","\mathcal{L}(82,84)","\mathcal{L}(82,84)"
2023/2/17,"\mathcal{L}(6,8)","\mathcal{L}(58,60)","\mathcal{L}(58,60)"
2023/2/16,"\mathcal{L}(6,8)","\mathcal{L}(46,48)","\mathcal{L}(46,48)"
2023/2/15,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(41,43)"
2023/2/14,"\mathcal{L}(5,7)","\mathcal{L}(23,25)","\mathcal{L}(35,37)"
2023/2/14,"\mathcal{L}(5,7)","\mathcal{L}(23,25)","\mathcal{L}(35,37)"
2023/2/13,"\mathcal{L}(4,6)","\mathcal{L}(23,25)","\mathcal{L}(45,47)"
2023/2/12,"\mathcal{L}(4,6)","\mathcal{L}(43,45)","\mathcal{L}(43,45)"
2023/2/11,"\mathcal{L}(5,7)","\mathcal{L}(36,38)","\mathcal{L}(36,38)"
2023/2/11,"\mathcal{L}(5,7)","\mathcal{L}(36,38)","\mathcal{L}(36,38)"
2023/2/10,"\mathcal{L}(4,6)","\mathcal{L}(33,35)","\mathcal{L}(36,38)"
2023/2/9,"\mathcal{L}(5,7)","\mathcal{L}(41,43)","\mathcal{L}(41,43)"
2023/2/8,"\mathcal{L}(5,7)","\mathcal{L}(33,35)","\mathcal{L}(57,59)"
2023/2/7,"\mathcal{L}(5,7)","\mathcal{L}(32,34)","\mathcal{L}(44,46)"
2023/2/6,"\mathcal{L}(4,6)","\mathcal{L}(43,45)","\mathcal{L}(43,45)"
2023/2/5,"\mathcal{L}(6,8)","\mathcal{L}(38,40)","\mathcal{L}(48,50)"
2023/2/4,"\mathcal{L}(6,8)","\mathcal{L}(39,41)","\mathcal{L}(39,41)"
2023/2/3,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(50,52)"
2023/2/2,"\mathcal{L}(5,7)","\mathcal{L}(23,25)","\mathcal{L}(49,51)"
2023/2/1,"\mathcal{L}(7,9)","\mathcal{L}(62,64)","\mathcal{L}(62,64)"
2023/1/31,"\mathcal{L}(7,9)","\mathcal{L}(49,51)","\mathcal{L}(53,55)"
2023/1/30,"\mathcal{L}(8,10)","\mathcal{L}(62,64)","\mathcal{L}(66,68)"
2023/1/29,"\mathcal{L}(7,9)","\mathcal{L}(48,50)","\mathcal{L}(58,60)"
2023/1/28,"\mathcal{L}(8,10)","\mathcal{L}(38,40)","\mathcal{L}(56,58)"
2023/1/27,"\mathcal{L}(7,9)","\mathcal{L}(18,20)","\mathcal{L}(58,60)"
2023/1/26,"\mathcal{L}(7,9)","\mathcal{L}(27,29)","\mathcal{L}(59,61)"
2023/1/25,"\mathcal{L}(6,8)","\mathcal{L}(14,16)","\mathcal{L}(36,38)"
2023/1/24,"\mathcal{L}(5,7)","\mathcal{L}(9,11)","\mathcal{L}(44,46)"
2023/1/23,"\mathcal{L}(5,7)","\mathcal{L}(17,19)","\mathcal{L}(38,40)"
2023/1/22,"\mathcal{L}(5,7)","\mathcal{L}(21,23)","\mathcal{L}(28,30)"
2023/1/21,"\mathcal{L}(6,8)","\mathcal{L}(18,20)","\mathcal{L}(59,61)"
2023/1/20,"\mathcal{L}(7,9)","\mathcal{L}(33,35)","\mathcal{L}(85,87)"
2023/1/19,"\mathcal{L}(8,10)","\mathcal{L}(61,63)","\mathcal{L}(74,76)"
2023/1/18,"\mathcal{L}(8,10)","\mathcal{L}(48,50)","\mathcal{L}(69,71)"
2023/1/17,"\mathcal{L}(8,10)","\mathcal{L}(34,36)","\mathcal{L}(58,60)"
2023/1/16,"\mathcal{L}(7,9)","\mathcal{L}(28,30)","\mathcal{L}(49,51)"
2023/1/15,"\mathcal{L}(5,7)","\mathcal{L}(21,23)","\mathcal{L}(30,32)"
2023/1/14,"\mathcal{L}(4,6)","\mathcal{L}(21,23)","\mathcal{L}(27,29)"
2023/1/13,"\mathcal{L}(5,7)","\mathcal{L}(52,54)","\mathcal{L}(52,54)"
2023/1/12,"\mathcal{L}(5,7)","\mathcal{L}(38,40)","\mathcal{L}(38,40)"
2023/1/11,"\mathcal{L}(6,8)","\mathcal{L}(53,55)","\mathcal{L}(53,55)"
2023/1/10,"\mathcal{L}(5,7)","\mathcal{L}(34,36)","\mathcal{L}(35,37)"
2023/1/9,"\mathcal{L}(7,9)","\mathcal{L}(56,58)","\mathcal{L}(82,84)"
2023/1/8,"\mathcal{L}(8,10)","\mathcal{L}(56,58)","\mathcal{L}(73,75)"
2023/1/7,"\mathcal{L}(10,12)","\mathcal{L}(88,90)","\mathcal{L}(128,130)"
2023/1/6,"\mathcal{L}(8,10)","\mathcal{L}(86,88)","\mathcal{L}(106,108)"
2023/1/5,"\mathcal{L}(6,8)","\mathcal{L}(78,80)","\mathcal{L}(78,80)"
2023/1/4,"\mathcal{L}(7,9)","\mathcal{L}(67,69)","\mathcal{L}(67,69)"
2023/1/3,"\mathcal{L}(6,8)","\mathcal{L}(43,45)","\mathcal{L}(43,45)"
2023/1/2,"\mathcal{L}(7,9)","\mathcal{L}(49,51)","\mathcal{L}(78,80)"
2023/1/1,"\mathcal{L}(8,10)","\mathcal{L}(103,105)","\mathcal{L}(109,111)"
2022/12/31,"\mathcal{L}(9,11)","\mathcal{L}(86,88)","\mathcal{L}(93,95)"
2022/12/30,"\mathcal{L}(7,9)","\mathcal{L}(67,69)","\mathcal{L}(67,69)"
2022/12/29,"\mathcal{L}(6,8)","\mathcal{L}(43,45)","\mathcal{L}(43,45)"
2022/12/28,"\mathcal{L}(9,11)","\mathcal{L}(53,55)","\mathcal{L}(107,109)"
2022/12/27,"\mathcal{L}(9,11)","\mathcal{L}(63,65)","\mathcal{L}(93,95)"
2022/12/26,"\mathcal{L}(8,10)","\mathcal{L}(71,73)","\mathcal{L}(71,73)"
2022/12/25,"\mathcal{L}(7,9)","\mathcal{L}(51,53)","\mathcal{L}(51,53)"
2022/12/24,"\mathcal{L}(9,11)","\mathcal{L}(53,55)","\mathcal{L}(53,55)"
2022/12/23,"\mathcal{L}(8,10)","\mathcal{L}(43,45)","\mathcal{L}(43,45)"
2022/12/22,"\mathcal{L}(8,10)","\mathcal{L}(54,56)","\mathcal{L}(73,75)"
2022/12/21,"\mathcal{L}(8,10)","\mathcal{L}(61,63)","\mathcal{L}(71,73)"
2022/12/20,"\mathcal{L}(6,8)","\mathcal{L}(68,70)","\mathcal{L}(68,70)"
2022/12/19,"\mathcal{L}(7,9)","\mathcal{L}(72,74)","\mathcal{L}(72,74)"
2022/12/18,"\mathcal{L}(7,9)","\mathcal{L}(46,48)","\mathcal{L}(57,59)"
2022/12/17,"\mathcal{L}(6,8)","\mathcal{L}(28,30)","\mathcal{L}(53,55)"
2022/12/16,"\mathcal{L}(5,7)","\mathcal{L}(46,48)","\mathcal{L}(46,48)"
2022/12/15,"\mathcal{L}(6,8)","\mathcal{L}(67,69)","\mathcal{L}(67,69)"
2022/12/14,"\mathcal{L}(7,9)","\mathcal{L}(51,53)","\mathcal{L}(76,78)"
2022/12/13,"\mathcal{L}(9,11)","\mathcal{L}(71,73)","\mathcal{L}(95,97)"
2022/12/12,"\mathcal{L}(6,8)","\mathcal{L}(57,59)","\mathcal{L}(57,59)"
2022/12/11,"\mathcal{L}(5,7)","\mathcal{L}(29,31)","\mathcal{L}(42,44)"
2022/12/10,"\mathcal{L}(5,7)","\mathcal{L}(57,59)","\mathcal{L}(76,78)"
2022/12/9,"\mathcal{L}(5,7)","\mathcal{L}(76,78)","\mathcal{L}(76,78)"
2022/12/8,"\mathcal{L}(6,8)","\mathcal{L}(84,86)","\mathcal{L}(84,86)"
2022/12/7,"\mathcal{L}(7,9)","\mathcal{L}(72,74)","\mathcal{L}(72,74)"
2022/12/6,"\mathcal{L}(6,8)","\mathcal{L}(67,69)","\mathcal{L}(67,69)"
2022/12/5,"\mathcal{L}(5,7)","\mathcal{L}(31,33)","\mathcal{L}(31,33)"
2022/12/4,"\mathcal{L}(4,6)","\mathcal{L}(19,21)","\mathcal{L}(30,32)"
2022/12/3,"\mathcal{L}(5,7)","\mathcal{L}(56,58)","\mathcal{L}(56,58)"
2022/12/2,"\mathcal{L}(7,9)","\mathcal{L}(59,61)","\mathcal{L}(59,61)"
2022/12/1,"\mathcal{L}(6,8)","\mathcal{L}(39,41)","\mathcal{L}(39,41)"
2022/11/30,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(28,30)"
2022/11/29,"\mathcal{L}(4,6)","\mathcal{L}(24,26)","\mathcal{L}(26,28)"
2022/11/28,"\mathcal{L}(5,7)","\mathcal{L}(37,39)","\mathcal{L}(37,39)"
2022/11/27,"\mathcal{L}(5,7)","\mathcal{L}(42,44)","\mathcal{L}(42,44)"
2022/11/26,"\mathcal{L}(6,8)","\mathcal{L}(68,70)","\mathcal{L}(68,70)"
2022/11/25,"\mathcal{L}(6,8)","\mathcal{L}(63,65)","\mathcal{L}(63,65)"
2022/11/24,"\mathcal{L}(5,7)","\mathcal{L}(62,64)","\mathcal{L}(62,64)"
2022/11/23,"\mathcal{L}(5,7)","\mathcal{L}(41,43)","\mathcal{L}(41,43)"
2022/11/22,"\mathcal{L}(5,7)","\mathcal{L}(42,44)","\mathcal{L}(47,49)"
2022/11/21,"\mathcal{L}(5,7)","\mathcal{L}(58,60)","\mathcal{L}(58,60)"
2022/11/20,"\mathcal{L}(5,7)","\mathcal{L}(47,49)","\mathcal{L}(64,66)"
2022/11/19,"\mathcal{L}(5,7)","\mathcal{L}(57,59)","\mathcal{L}(57,59)"
,,,
,,,
